tweet_id,user,text,created_at
T8045,user33,Comprei na promoção — desconto 50%!!!,2025-08-24 16:53:42
T8046,user22,Não chegou até hoje.,2023-06-24 16:53:42
T8047,user41,Péssimo. Não funciona. #falha,2024-10-27 16:53:42
T8048,user27,Fabricado em 2020. parece novo,2023-08-24 16:53:42
T8049,user35,Comprei na promoção — desconto 50%!!!,2025-03-02 16:53:42
T8050,user7,Envio internacional? alguém sabe?,2024-10-04 16:53:42
T8051,user40,Amei o produto!! 😍 #satisfeito,2024-03-03 16:53:42
T8052,user17,Excelente qualidade!!!,2024-04-21 16:53:42
T8053,user27,Não chegou até hoje.,2024-06-14 16:53:42
T8054,user43,meu pedido veio errado :/,2025-03-17 16:53:42
T8055,user10,achei ok,2025-07-26 16:53:42
T8056,user12,"Produto top, recomendo",2023-06-17 16:53:42
T8057,user23,Não chegou até hoje.,2025-11-15 16:53:42
T8058,user42,Péssimo. Não funciona. #falha,2023-09-18 16:53:42
T8059,user9,??????,2025-01-13 16:53:42
T8060,user31,Prefiro outra marca; muito caro.,2023-08-10 16:53:42
T8061,user24,"Produto top, recomendo",2025-02-25 16:53:42
T8062,user30,Comprei na promoção — desconto 50%!!!,2025-01-23 16:53:42
T8063,user19,"Produto top, recomendo",2023-09-12 16:53:42
T8064,user44,Não chegou até hoje.,2025-04-29 16:53:42
T8065,user11,??????,2023-11-26 16:53:42
T8066,user17,"produto devolvido, atendimento não resolveu",2023-11-03 16:53:42
T8067,user8,Comprei na promoção — desconto 50%!!!,2023-06-23 16:53:42
T8068,user28,Entrega rápida 👍,2024-08-18 16:53:42
T8069,user31,meu pedido veio errado :/,2023-12-14 16:53:42
T8070,user40,,2023-11-28 16:53:42
T8071,user4,Não chegou até hoje.,2023-12-09 16:53:42
T8072,user20,Amei o produto!! 😍 #satisfeito,2024-10-05 16:53:42
T8073,user8,Fabricado em 2020. parece novo,2025-04-23 16:53:42
T8074,user8,Péssimo. Não funciona. #falha,2025-09-06 16:53:42
T8075,user7,??????,2023-10-08 16:53:42
T8076,user41,achei ok,2024-08-02 16:53:42
T8077,user39,"Ótimo atendimento, comprei de novo",2023-06-18 16:53:42
T8078,user45,"produto devolvido, atendimento não resolveu",2024-05-27 16:53:42
T8079,user28,??????,2023-09-16 16:53:42
T8080,user13,Péssimo. Não funciona. #falha,2025-11-07 16:53:42
T8081,user19,"produto devolvido, atendimento não resolveu",2025-06-13 16:53:42
T8082,user37,Não chegou até hoje.,2024-06-18 16:53:42
T8083,user49,meu pedido veio errado :/,2025-05-07 16:53:42
T8084,user6,Excelente qualidade!!!,2023-11-15 16:53:42
T8085,user41,Amei o produto!! 😍 #satisfeito,2024-12-14 16:53:42
T8086,user21,Amei o produto!! 😍 #satisfeito,2024-11-24 16:53:42
T8087,user7,,2024-09-03 16:53:42
T8088,user36,Entrega rápida 👍,2024-06-30 16:53:42
T8089,user5,Prefiro outra marca; muito caro.,2025-01-10 16:53:42
T8090,user28,Envio internacional? alguém sabe?,2025-04-22 16:53:42
T8091,user29,meu pedido veio errado :/,2025-10-22 16:53:42
T8092,user5,achei ok,2023-07-08 16:53:42
T8093,user7,   Comprei na promoção — desconto 50%!!!   ,2025-03-04 16:53:42
T8094,user31,Envio internacional? alguém sabe?,2024-02-24 16:53:42
T8095,user13,Comprei na promoção — desconto 50%!!!,2023-12-02 16:53:42
T8096,user24,Excelente qualidade!!!,2023-10-12 16:53:42
T8097,user26,"Nao recomendo, chegou atrasado... :(",2023-08-24 16:53:42
T8098,user47,achei ok,2025-09-06 16:53:42
T8099,user21,Prefiro outra marca; muito caro.,2024-01-18 16:53:42
T8100,user1,"Nao recomendo, chegou atrasado... :(",2024-10-08 16:53:42
T8101,user27,Comprei na promoção — desconto 50%!!!,2025-03-18 16:53:42
T8102,user28,Envio internacional? alguém sabe?,2025-11-13 16:53:42
T8103,user19,"produto devolvido, atendimento não resolveu",2024-10-20 16:53:42
T8104,user48,Excelente qualidade!!!,2023-09-01 16:53:42
T8105,user33,Não chegou até hoje.,2023-12-02 16:53:42
T8106,user26,achei ok,2025-02-16 16:53:42
T8107,user26,Fabricado em 2020. parece novo,2025-08-05 16:53:42
T8108,user22,"Nao recomendo, chegou atrasado... :(",2023-12-03 16:53:42
T8109,user6,"produto devolvido, atendimento não resolveu",2024-11-12 16:53:42
T8110,user13,meu pedido veio errado :/,2023-11-05 16:53:42
T8111,user36,Entrega rápida 👍,2025-03-02 16:53:42
T8112,user47,Prefiro outra marca; muito caro.,2025-01-31 16:53:42
T8113,user43,"Produto top, recomendo",2025-01-12 16:53:42
T8114,user29,"Nao recomendo, chegou atrasado... :(",2024-05-04 16:53:42
T8115,user39,Entrega rápida 👍,2024-07-04 16:53:42
T8116,user48,Péssimo. Não funciona. #falha,2024-05-28 16:53:42
T8117,user2,Muito bom! 👌👌,2023-10-12 16:53:42
T8118,user25,Fabricado em 2020. parece novo,2024-11-25 16:53:42
T8119,user37,"Produto top, recomendo",2024-05-27 16:53:42
T8120,user39,Fabricado em 2020. parece novo,2025-02-27 16:53:42
T8121,user42,"Produto top, recomendo",2024-08-08 16:53:42
T8122,user2,??????,2023-11-17 16:53:42
T8123,user8,??????,2024-06-06 16:53:42
T8124,user22,Prefiro outra marca; muito caro.,2025-04-05 16:53:42
T8125,user20,??????,2025-09-27 16:53:42
T8126,user33,Prefiro outra marca; muito caro.,2025-03-19 16:53:42
T8127,user29,"A loja é ótima, preço justo",2023-08-01 16:53:42
T8128,user5,achei ok,2025-08-31 16:53:42
T8129,user25,Excelente qualidade!!!,2023-10-24 16:53:42
T8130,user37,,2024-10-31 16:53:42
T8131,user48,"produto devolvido, atendimento não resolveu",2025-05-29 16:53:42
T8132,user38,Fabricado em 2020. parece novo,2023-12-07 16:53:42
T8133,user22,Excelente qualidade!!!,2023-07-23 16:53:42
T8134,user37,Amei o produto!! 😍 #satisfeito,2025-06-29 16:53:42
T8135,user31,Não chegou até hoje.,2024-04-21 16:53:42
T8136,user20,Excelente qualidade!!!,2025-07-27 16:53:42
T8137,user40,Envio internacional? alguém sabe?,2023-10-22 16:53:42
T8138,user27,Amei o produto!! 😍 #satisfeito,2024-03-30 16:53:42
T8139,user40,Não chegou até hoje.,2025-03-14 16:53:42
T8140,user42,achei ok,2023-10-21 16:53:42
T8141,user28,Péssimo. Não funciona. #falha,2023-07-15 16:53:42
T8142,user41,Amei o produto!! 😍 #satisfeito,2023-09-17 16:53:42
T8143,user20,Péssimo. Não funciona. #falha,2025-01-20 16:53:42
T8144,user36,"Nao recomendo, chegou atrasado... :(",2025-09-27 16:53:42
T8145,user17,Fabricado em 2020. parece novo,2025-09-17 16:53:42
T8146,user15,??????,2024-09-05 16:53:42
T8147,user38,,2024-11-02 16:53:42
T8148,user33,Muito bom! 👌👌,2025-08-31 16:53:42
T8149,user36,Comprei na promoção — desconto 50%!!!,2023-10-01 16:53:42
T8150,user9,Não chegou até hoje.,2025-04-12 16:53:42
T8151,user7,achei ok,2024-04-11 16:53:42
T8152,user29,meu pedido veio errado :/,2024-03-09 16:53:42
T8153,user42,Entrega rápida 👍,2025-05-25 16:53:42
T8154,user3,Comprei na promoção — desconto 50%!!!,2023-09-25 16:53:42
T8155,user37,"A loja é ótima, preço justo",2025-01-07 16:53:42
T8156,user31,Entrega rápida 👍,2025-01-11 16:53:42
T8157,user23,Entrega rápida 👍,2024-05-08 16:53:42
T8158,user28,meu pedido veio errado :/,2024-10-22 16:53:42
T8159,user37,,2023-12-17 16:53:42
T8160,user20,Entrega rápida 👍,2023-06-10 16:53:42
T8161,user18,      ,2025-02-05 16:53:42
T8162,user20,Péssimo. Não funciona. #falha,2025-02-05 16:53:42
T8163,user5,"Ótimo atendimento, comprei de novo",2024-07-28 16:53:42
T8164,user5,Não chegou até hoje.,2023-06-10 16:53:42
T8165,user48,Comprei na promoção — desconto 50%!!!,2024-09-04 16:53:42
T8166,user18,Excelente qualidade!!!,2023-09-14 16:53:42
T8167,user14,"produto devolvido, atendimento não resolveu",2024-01-03 16:53:42
T8168,user41,Amei o produto!! 😍 #satisfeito,2023-06-17 16:53:42
T8169,user14,"Nao recomendo, chegou atrasado... :(",2024-10-09 16:53:42
T8170,user21,,2024-07-05 16:53:42
T8171,user18,"Nao recomendo, chegou atrasado... :(",2023-11-22 16:53:42
T8172,user28,Excelente qualidade!!!,2023-10-01 16:53:42
T8173,user21,Excelente qualidade!!!,2023-06-19 16:53:42
T8174,user43,Péssimo. Não funciona. #falha,2025-03-26 16:53:42
T8175,user27,Prefiro outra marca; muito caro.,2024-10-01 16:53:42
T8176,user38,Não chegou até hoje.,2025-06-24 16:53:42
T8177,user7,Péssimo. Não funciona. #falha,2023-09-01 16:53:42
T8178,user13,Prefiro outra marca; muito caro.,2024-09-27 16:53:42
T8179,user8,Fabricado em 2020. parece novo,2025-02-25 16:53:42
T8180,user23,Não chegou até hoje.,2024-02-17 16:53:42
T8181,user16,,2023-08-23 16:53:42
T8182,user31,meu pedido veio errado :/,2024-06-23 16:53:42
T8183,user33,Prefiro outra marca; muito caro.,2025-07-20 16:53:42
T8184,user1,Amei o produto!! 😍 #satisfeito,2024-11-17 16:53:42
T8185,user14,Péssimo. Não funciona. #falha,2024-05-06 16:53:42
T8186,user26,Envio internacional? alguém sabe?,2024-02-26 16:53:42
T8187,user32,meu pedido veio errado :/,2025-06-19 16:53:42
T8188,user29,"A loja é ótima, preço justo",2024-05-03 16:53:42
T8189,user41,meu pedido veio errado :/,2024-05-04 16:53:42
T8190,user4,Prefiro outra marca; muito caro.,2024-02-12 16:53:42
T8191,user49,"Produto top, recomendo",2025-06-02 16:53:42
T8192,user19,Amei o produto!! 😍 #satisfeito,2024-03-15 16:53:42
T8193,user24,Muito bom! 👌👌,2025-04-28 16:53:42
T8194,user5,Excelente qualidade!!!,2024-09-04 16:53:42
T8195,user3,Comprei na promoção — desconto 50%!!!,2024-04-18 16:53:42
T8196,user25,"Nao recomendo, chegou atrasado... :(",2025-06-11 16:53:42
T8197,user13,"Nao recomendo, chegou atrasado... :(",2024-08-22 16:53:42
T8198,user45,"Ótimo atendimento, comprei de novo",2024-12-03 16:53:42
T8199,user36,Fabricado em 2020. parece novo,2025-01-25 16:53:42
T8200,user29,Entrega rápida 👍,2025-04-06 16:53:42
T8201,user23,"Nao recomendo, chegou atrasado... :(",2025-01-02 16:53:42
T8202,user33,Não chegou até hoje.,2023-06-25 16:53:42
T8203,user18,Excelente qualidade!!!,2025-05-27 16:53:42
T8204,user7,Não chegou até hoje.,2024-03-01 16:53:42
T8205,user6,??????,2024-12-26 16:53:42
T8206,user35,Envio internacional? alguém sabe?,2023-12-11 16:53:42
T8207,user10,"produto devolvido, atendimento não resolveu",2025-10-27 16:53:42
T8208,user32,Amei o produto!! 😍 #satisfeito,2023-12-12 16:53:42
T8209,user40,meu pedido veio errado :/,2025-08-24 16:53:42
T8210,user21,??????,2023-08-07 16:53:42
T8211,user23,"Ótimo atendimento, comprei de novo",2023-07-11 16:53:42
T8212,user22,,2024-01-07 16:53:42
T8213,user15,Péssimo. Não funciona. #falha,2024-12-30 16:53:42
T8214,user38,??????,2023-12-03 16:53:42
T8215,user16,Não chegou até hoje.,2025-05-25 16:53:42
T8216,user43,Envio internacional? alguém sabe?,2025-08-22 16:53:42
T8217,user33,"produto devolvido, atendimento não resolveu",2023-10-02 16:53:42
T8218,user29,"produto devolvido, atendimento não resolveu",2024-02-15 16:53:42
T8219,user36,achei ok,2023-11-07 16:53:42
T8220,user26,Amei o produto!! 😍 #satisfeito,2024-12-07 16:53:42
T8221,user5,meu pedido veio errado :/,2025-03-05 16:53:42
T8222,user20,Amei o produto!! 😍 #satisfeito,2024-02-17 16:53:42
T8223,user1,"Produto top, recomendo",2024-02-08 16:53:42
T8224,user33,meu pedido veio errado :/,2025-11-06 16:53:42
T8225,user10,??????,2023-11-13 16:53:42
T8226,user47,??????,2024-02-18 16:53:42
T8227,user19,Envio internacional? alguém sabe?,2024-03-09 16:53:42
T8228,user7,,2024-07-14 16:53:42
T8229,user42,"produto devolvido, atendimento não resolveu",2025-07-09 16:53:42
T8230,user16,achei ok,2024-02-27 16:53:42
T8231,user18,meu pedido veio errado :/,2023-12-10 16:53:42
T8232,user17,"A loja é ótima, preço justo",2024-05-01 16:53:42
T8233,user25,Péssimo. Não funciona. #falha,2023-10-25 16:53:42
T8234,user24,Muito bom! 👌👌,2023-09-07 16:53:42
T8235,user16,meu pedido veio errado :/,2024-06-18 16:53:42
T8236,user43,   Péssimo. Não funciona. #falha   ,2025-03-15 16:53:42
T8237,user47,meu pedido veio errado :/,2025-09-01 16:53:42
T8238,user24,Comprei na promoção — desconto 50%!!!,2024-08-24 16:53:42
T8239,user17,Entrega rápida 👍,2024-06-11 16:53:42
T8240,user16,achei ok,2024-05-12 16:53:42
T8241,user1,Comprei na promoção — desconto 50%!!!,2024-01-19 16:53:42
T8242,user34,Péssimo. Não funciona. #falha,2025-08-25 16:53:42
T8243,user21,Comprei na promoção — desconto 50%!!!,2024-04-04 16:53:42
T8244,user11,"produto devolvido, atendimento não resolveu",2025-09-17 16:53:42
T8245,user20,"produto devolvido, atendimento não resolveu",2025-10-19 16:53:42
T8246,user27,Entrega rápida 👍,2023-10-22 16:53:42
T8247,user31,Excelente qualidade!!!,2023-10-23 16:53:42
T8248,user20,"produto devolvido, atendimento não resolveu",2025-07-08 16:53:42
T8249,user4,"A loja é ótima, preço justo",2023-07-12 16:53:42
T8250,user48,??????,2023-06-16 16:53:42
T8251,user11,"Ótimo atendimento, comprei de novo",2024-01-15 16:53:42
T8252,user18,"Ótimo atendimento, comprei de novo",2024-05-08 16:53:42
T8253,user13,Envio internacional? alguém sabe?,2023-06-11 16:53:42
T8254,user16,Péssimo. Não funciona. #falha,2025-05-31 16:53:42
T8255,user49,"produto devolvido, atendimento não resolveu",2023-09-08 16:53:42
T8256,user28,"Nao recomendo, chegou atrasado... :(",2023-09-04 16:53:42
T8257,user6,Envio internacional? alguém sabe?,2023-07-08 16:53:42
T8258,user16,Não chegou até hoje.,2024-03-17 16:53:42
T8259,user3,Envio internacional? alguém sabe?,2025-07-11 16:53:42
T8260,user44,Excelente qualidade!!!,2025-05-19 16:53:42
T8261,user8,"A loja é ótima, preço justo",2024-02-24 16:53:42
T8262,user11,Comprei na promoção — desconto 50%!!!,2024-12-18 16:53:42
T8263,user38,"Produto top, recomendo",2024-05-15 16:53:42
T8264,user42,"A loja é ótima, preço justo",2025-11-20 16:53:42
T8265,user38,"Produto top, recomendo",2025-03-13 16:53:42
T8266,user39,   Comprei na promoção — desconto 50%!!!   ,2023-09-05 16:53:42
T8267,user42,Não chegou até hoje.,2024-02-02 16:53:42
T8268,user35,achei ok,2023-09-11 16:53:42
T8269,user42,Excelente qualidade!!!,2025-03-27 16:53:42
T8270,user14,Fabricado em 2020. parece novo,2023-09-30 16:53:42
T8271,user21,Prefiro outra marca; muito caro.,2023-12-06 16:53:42
T8272,user23,Não chegou até hoje.,2024-10-06 16:53:42
T8273,user6,Fabricado em 2020. parece novo,2024-03-08 16:53:42
T8274,user17,achei ok,2023-12-19 16:53:42
T8275,user21,Envio internacional? alguém sabe?,2024-12-17 16:53:42
T8276,user36,,2024-01-13 16:53:42
T8277,user18,??????,2024-11-11 16:53:42
T8278,user17,??????,2024-04-10 16:53:42
T8279,user16,achei ok,2024-01-29 16:53:42
T8280,user30,Envio internacional? alguém sabe?,2024-02-11 16:53:42
T8281,user32,Prefiro outra marca; muito caro.,2023-08-22 16:53:42
T8282,user11,Não chegou até hoje.,2025-07-02 16:53:42
T8283,user42,Envio internacional? alguém sabe?,2025-01-06 16:53:42
T8284,user47,Muito bom! 👌👌,2025-07-26 16:53:42
T8285,user47,Péssimo. Não funciona. #falha,2025-03-18 16:53:42
T8286,user45,Fabricado em 2020. parece novo,2023-07-24 16:53:42
T8287,user20,Péssimo. Não funciona. #falha,2023-06-10 16:53:42
T8288,user44,Péssimo. Não funciona. #falha,2025-01-18 16:53:42
T8289,user40,Muito bom! 👌👌,2024-04-03 16:53:42
T8290,user16,"Nao recomendo, chegou atrasado... :(",2024-08-07 16:53:42
T8291,user35,Amei o produto!! 😍 #satisfeito,2024-05-04 16:53:42
T8292,user49,Péssimo. Não funciona. #falha,2024-07-21 16:53:42
T8293,user13,"A loja é ótima, preço justo",2024-04-29 16:53:42
T8294,user8,"Produto top, recomendo",2024-12-13 16:53:42
T8295,user36,Fabricado em 2020. parece novo,2023-08-28 16:53:42
T8296,user3,   Excelente qualidade!!!   ,2024-07-26 16:53:42
T8297,user4,meu pedido veio errado :/,2024-08-09 16:53:42
T8298,user29,Envio internacional? alguém sabe?,2024-11-08 16:53:42
T8299,user31,Prefiro outra marca; muito caro.,2025-02-18 16:53:42
T8300,user34,Péssimo. Não funciona. #falha,2025-09-14 16:53:42
T8301,user39,"Produto top, recomendo",2024-06-22 16:53:42
T8302,user12,Envio internacional? alguém sabe?,2024-11-24 16:53:42
T8303,user12,Não chegou até hoje.,2025-08-23 16:53:42
T8304,user1,achei ok,2024-11-17 16:53:42
T8305,user34,Entrega rápida 👍,2024-12-21 16:53:42
T8306,user47,Péssimo. Não funciona. #falha,2024-09-14 16:53:42
T8307,user23,"Ótimo atendimento, comprei de novo",2024-12-24 16:53:42
T8308,user36,Envio internacional? alguém sabe?,2024-01-31 16:53:42
T8309,user38,"produto devolvido, atendimento não resolveu",2024-07-21 16:53:42
T8310,user46,Péssimo. Não funciona. #falha,2023-07-11 16:53:42
T8311,user19,"Produto top, recomendo",2025-10-16 16:53:42
T8312,user14,,2024-12-01 16:53:42
T8313,user7,Não chegou até hoje.,2024-04-30 16:53:42
T8314,user17,Excelente qualidade!!!,2025-03-16 16:53:42
T8315,user15,"Nao recomendo, chegou atrasado... :(",2024-04-23 16:53:42
T8316,user38,"Nao recomendo, chegou atrasado... :(",2024-10-23 16:53:42
T8317,user39,Muito bom! 👌👌,2023-10-30 16:53:42
T8318,user13,Comprei na promoção — desconto 50%!!!,2023-07-02 16:53:42
T8319,user15,Excelente qualidade!!!,2025-06-08 16:53:42
T8320,user23,Fabricado em 2020. parece novo,2024-01-05 16:53:42
T8321,user30,"produto devolvido, atendimento não resolveu",2023-12-25 16:53:42
T8322,user39,??????,2024-07-02 16:53:42
T8323,user35,Fabricado em 2020. parece novo,2025-03-10 16:53:42
T8324,user20,,2024-04-20 16:53:42
T8325,user20,meu pedido veio errado :/,2024-08-23 16:53:42
T8326,user48,"Ótimo atendimento, comprei de novo",2024-06-14 16:53:42
T8327,user19,Não chegou até hoje.,2023-06-27 16:53:42
T8328,user24,,2024-12-19 16:53:42
T8329,user16,??????,2025-09-29 16:53:42
T8330,user48,Entrega rápida 👍,2025-04-21 16:53:42
T8331,user44,"Nao recomendo, chegou atrasado... :(",2024-03-16 16:53:42
T8332,user48,"A loja é ótima, preço justo",2023-09-01 16:53:42
T8333,user19,Não chegou até hoje.,2024-01-10 16:53:42
T8334,user29,Fabricado em 2020. parece novo,2023-11-25 16:53:42
T8335,user47,Entrega rápida 👍,2024-08-18 16:53:42
T8336,user1,Entrega rápida 👍,2025-03-23 16:53:42
T8337,user29,Envio internacional? alguém sabe?,2023-11-26 16:53:42
T8338,user16,Comprei na promoção — desconto 50%!!!,2024-11-17 16:53:42
T8339,user7,Entrega rápida 👍,2024-10-04 16:53:42
T8340,user12,Amei o produto!! 😍 #satisfeito,2025-10-25 16:53:42
T8341,user48,"produto devolvido, atendimento não resolveu",2024-11-22 16:53:42
T8342,user38,,2024-05-15 16:53:42
T8343,user48,Péssimo. Não funciona. #falha,2024-02-18 16:53:42
T8344,user26,"Ótimo atendimento, comprei de novo",2025-08-09 16:53:42
T8345,user32,Entrega rápida 👍,2024-04-20 16:53:42
T8346,user5,Fabricado em 2020. parece novo,2023-08-09 16:53:42
T8347,user31,Excelente qualidade!!!,2024-10-03 16:53:42
T8348,user31,   Muito bom! 👌👌   ,2024-03-15 16:53:42
T8349,user4,Entrega rápida 👍,2023-08-27 16:53:42
T8283,user42,Envio internacional? alguém sabe?,2025-01-06 16:53:42
T8182,user31,meu pedido veio errado :/,2024-06-23 16:53:42
T8263,user38,"Produto top, recomendo",2024-05-15 16:53:42
T8013,user42,Comprei na promoção — desconto 50%!!!,2024-03-20 16:53:42
T8208,user32,Amei o produto!! 😍 #satisfeito,2023-12-12 16:53:42
T8348,user31,   Muito bom! 👌👌   ,2024-03-15 16:53:42
